Climate scenario,With CO2 yield fertilization,Data source,Point estimate,95 percent CI,Region,Nutrient,Unit per capita,Year,Value
No Climate Change,no,Reference,yes,,Equatorial Guinea,zinc,mg,2010,6.56
No Climate Change,no,Reference,yes,,Greece,protein,g,2010,142.66
No Climate Change,no,Reference,yes,,Greece,iron,mg,2010,29.07
No Climate Change,no,Reference,yes,,Greece,zinc,mg,2010,23.20
No Climate Change,no,Reference,yes,,Guyanas,protein,g,2010,64.85
No Climate Change,no,Reference,yes,,Guyanas,iron,mg,2010,13.69
No Climate Change,no,Reference,yes,,Guyanas,zinc,mg,2010,10.77
No Climate Change,no,Reference,yes,,Guatemala,protein,g,2010,72.30
No Climate Change,no,Reference,yes,,Guatemala,iron,mg,2010,17.90
No Climate Change,no,Reference,yes,,Guatemala,zinc,mg,2010,12.08
No Climate Change,no,Reference,yes,,Honduras,protein,g,2010,75.79
No Climate Change,no,Reference,yes,,Honduras,iron,mg,2010,17.18
No Climate Change,no,Reference,yes,,Honduras,zinc,mg,2010,11.96
No Climate Change,no,Reference,yes,,Croatia,protein,g,2010,102.48
No Climate Change,no,Reference,yes,,Croatia,iron,mg,2010,19.06
No Climate Change,no,Reference,yes,,Croatia,zinc,mg,2010,15.99
No Climate Change,no,Reference,yes,,Haiti,protein,g,2010,46.68
No Climate Change,no,Reference,yes,,Haiti,iron,mg,2010,12.28
No Climate Change,no,Reference,yes,,Haiti,zinc,mg,2010,8.23
No Climate Change,no,Reference,yes,,Hungary,protein,g,2010,115.22
No Climate Change,no,Reference,yes,,Hungary,iron,mg,2010,21.78
No Climate Change,no,Reference,yes,,Hungary,zinc,mg,2010,17.12
No Climate Change,no,Reference,yes,,Indonesia,protein,g,2010,72.60
No Climate Change,no,Reference,yes,,Indonesia,iron,mg,2010,16.73
No Climate Change,no,Reference,yes,,Indonesia,zinc,mg,2010,9.28
No Climate Change,no,Reference,yes,,India,protein,g,2010,65.20
No Climate Change,no,Reference,yes,,India,iron,mg,2010,17.21
No Climate Change,no,Reference,yes,,India,zinc,mg,2010,9.62
No Climate Change,no,Reference,yes,,Ireland,protein,g,2010,137.27
No Climate Change,no,Reference,yes,,Ireland,iron,mg,2010,23.10
No Climate Change,no,Reference,yes,,Ireland,zinc,mg,2010,21.15
No Climate Change,no,Reference,yes,,Iran,protein,g,2010,113.86
No Climate Change,no,Reference,yes,,Iran,iron,mg,2010,27.91
No Climate Change,no,Reference,yes,,Iran,zinc,mg,2010,19.20
No Climate Change,no,Reference,yes,,Iraq,protein,g,2010,69.36
No Climate Change,no,Reference,yes,,Iraq,iron,mg,2010,18.22
No Climate Change,no,Reference,yes,,Iraq,zinc,mg,2010,12.78
